Id,lng,lat
Turkmenistan,58.38334,37.95
East Timor,125.58,-8.57
Tonga,-175.2333,-21.15
Trinidad and Tobago,-61.51667,10.63333
Tunisia,10.21667,36.83333
Turkey,28.95,41.03333
Tuvalu,179.2,-8.5
Taiwan,121.5333,25.08333
"Tanzania, United Rep. of",39.3,-6.85
Uganda,32.58333,0.3333333
Ukraine,30.5,50.41667
Uruguay,-56.16667,-34.91667
United States of America,-74,40.75
Uzbekistan,69.21667,41.26667
Saint Vincent and the Grenadines,-61.23333,13.2
Venezuela,-66.93333,10.58333
British Virgin Islands,-64.61667,18.45
Viet Nam,105.8667,21.01667
Vanuatu,168.3,-17.75
Wallis and Futuna,-176.2,-13.3
Samoa,171.75,-13.8
Yemen,44.23333,15.4
Serbia and Montenegro,20.5,44.83333
South Africa,28.22,-25.73
Congo (Democratic Republic of the),15.3,-4.3
Zambia,28.26667,-15.46667
Zimbabwe,31.05,-17.83333
